,Name,Goal,GPG,Assist,APG,Block,BPG,Turn,TPG,Games,Standing,Spirit,wg13,Team_BENT,Team_BRUTESQUAD,Team_FURY,Team_GREENMEANSGO,Team_HEIST,Team_MOLLYBROWN,Team_NEMESIS,Team_NIGHTLOCK,Team_OZONE,Team_PHOENIX,Team_RIOT,Team_SCANDAL,Team_SCHWA,Team_SHOWDOWN,Team_TABBYROSA,Team_TEAMUSA,Team_UNDERGROUND,wugc16_tryouts,Team_WUGC16
0,ABBEY HEWITT,16.0,3.2,3.0,0.6,,,,,5.0,5.0,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1,ABBY CHRISTOPHER,3.0,0.25,3.0,0.25,,,,,12.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2,ABBY SHURE,6.0,0.857142857143,3.0,0.428571428571,,,,,7.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
3,ABBY VANMUIJEN,0.666666666667,0.138888888889,1.0,0.194444444444,3.0,0.5,3.0,0.5,5.66666666667,7.66666666667,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
4,ABIGAIL NEWSOME,0.0,0.0,0.0,0.0,,,,,4.0,15.0,13.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,ADRIENNE BOVEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
6,ADRIENNE LEMBERGER,3.0,0.75,5.0,1.08928571429,,,,,5.5,9.5,11.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0
7,ADRIENNE WELLS,1.5,0.321428571429,0.5,0.125,,,,,5.5,10.0,12.855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
8,AIDEEN COSTELLO,1.0,0.142857142857,0.0,0.0,,,,,7.0,14.0,7.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
9,AKINA YOUNGE,0.5,0.0714285714285,2.0,0.333333333334,2.0,0.333333333333,3.0,0.5,6.5,13.5,5.715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
10,ALDEN FLETCHER,3.6,0.42380952381,0.4,0.0452380952381,2.0,0.285714285714,3.0,0.428571428571,6.6,2.2,10.7925,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
11,ALEX CHLEBECK,0.0,0.0,0.0,0.0,,,,,4.0,13.0,11.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
12,ALEX FUSSELL,4.0,1.0,0.0,0.0,,,,,4.0,12.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
13,ALEX ODE,2.0,0.333333333333,1.0,0.166666666667,1.0,0.166666666667,6.0,1.0,6.0,15.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0
14,ALEX SNYDER,1.33333333333,0.172619047619,12.0,1.48015873016,7.0,1.0,9.0,1.28571428571,6.5,2.0,10.7925,1.0,0.0,0.0,0.833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0.0,1,1
15,ALEXA DIX,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,6.0,15.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
16,ALEXA WOOD,0.0,0.0,0.0,0.0,,,,,4.0,16.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
17,ALEXANDRA CHUDLER,2.0,0.285714285714,6.0,0.857142857143,,,,,7.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
18,ALEXANDRA HU,0.0,0.0,0.0,0.0,,,,,7.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
19,ALEXANDRA ODE,1.5,0.214285714286,0.5,0.0714285714285,,,,,5.5,10.0,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
20,ALEXANDRA STAMBAUGH,4.0,0.571428571429,1.0,0.142857142857,,,,,7.0,7.0,10.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
21,ALEXI ZALK,15.0,2.14285714286,7.0,1.0,,,,,7.0,14.0,7.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
22,ALICE WHITE-CYR,2.0,0.285714285714,0.0,0.0,,,,,7.0,11.0,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
23,ALICIA DANTZKER,2.25,0.247023809524,0.5,0.0714285714285,0.0,0.0,3.0,0.428571428571,6.75,2.0,9.85666666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
24,ALICIA WHITE,10.0,1.22023809524,4.5,0.624999999999,5.0,0.714285714286,5.0,0.714285714286,8.0,1.75,10.1,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0
25,ALIKA JOHNSTON,5.33333333333,0.761904761906,8.0,1.14285714286,2.0,0.285714285714,2.0,0.285714285714,7.0,2.66666666667,9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
26,ALINA KAGAN,1.66666666667,0.31746031746,3.33333333333,0.535714285714,1.0,0.166666666667,4.0,0.666666666667,5.66666666667,7.66666666667,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
27,ALISHA KRAMER,1.0,0.171428571429,0.0,0.0,2.0,0.285714285714,2.0,0.285714285714,6.0,3.0,7.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0,0
28,ALISON DOUGLAS,0.5,0.1,3.5,0.7,1.0,0.166666666667,3.0,0.5,5.5,7.0,6.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
29,ALISON STARGEL,3.5,0.559523809524,1.5,0.226190476191,3.0,0.5,2.0,0.333333333333,6.5,9.0,6.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
30,ALISON VANDEGRIFT,4.0,0.571428571429,0.0,0.0,,,,,7.0,9.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
31,ALLISON FISH,1.0,0.142857142857,0.0,0.0,,,,,7.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
32,ALLISON KAHN,2.0,0.285714285714,2.0,0.285714285714,,,,,7.0,14.0,7.43,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
33,ALLISON MADDUX,3.33333333333,0.47619047619,6.66666666667,0.95238095238,8.0,1.14285714286,14.0,2.0,7.0,2.66666666667,9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
34,ALLISON SNOW,3.33333333333,0.636507936508,3.33333333333,0.603174603175,2.0,0.333333333333,0.0,0.0,6.0,7.66666666667,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35,ALYSSA KELLY,3.0,0.75,4.0,1.0,,,,,4.0,12.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
36,ALYSSA WEATHERFORD,1.25,0.196428571429,4.0,1.05357142857,0.0,0.0,0.0,0.0,5.25,2.25,10.8666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0
37,AMANDA DOBBYN,5.0,0.714285714286,0.0,0.0,,,,,7.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
38,AMANDA GOOD,4.0,0.666666666667,5.0,0.833333333333,1.0,0.166666666667,2.0,0.333333333333,6.0,11.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
39,AMANDA KOSTIC,1.0,0.142857142857,4.0,0.946428571429,,,,,5.5,10.0,12.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
40,AMANDA SCHWORM,3.0,0.75,0.0,0.0,,,,,4.0,16.0,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
41,AMBER SINICROPE,4.0,0.619047619048,8.5,1.32142857143,2.0,0.333333333333,10.0,1.66666666667,6.5,3.5,7.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
42,AMELIA CUARENTA,3.66666666667,0.753968253968,0.666666666667,0.138888888889,3.0,0.5,1.0,0.166666666667,5.66666666667,10.6666666667,9.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
43,AMY HUDSON,1.5,0.214285714286,2.0,0.285714285714,3.0,0.428571428571,1.0,0.142857142857,7.0,1.0,8.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
44,AMY WICKNER,1.66666666667,0.238095238095,0.333333333333,0.047619047619,3.0,0.428571428571,2.0,0.285714285714,7.0,2.66666666667,9.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
45,ANDREA CRUMRINE,0.0,0.0,0.0,0.0,,,,,7.0,15.0,8.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
46,ANDREA ESPARZA,0.0,0.0,0.0,0.0,,,,,7.0,15.0,8.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
47,ANDREA ROMANO,0.75,0.321428571429,4.5,0.732142857143,4.0,0.666666666667,17.0,2.83333333333,5.0,4.0,10.2333333333,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
48,ANGEL LI,0.0,0.0,1.0,0.166666666667,0.0,0.0,1.0,0.166666666667,6.0,13.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
49,ANGELA LEE,1.0,0.2,3.0,0.6,,,,,5.0,6.0,11.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
50,ANGELA LIN,1.33333333333,0.209523809524,6.66666666667,1.17777777778,0.0,0.0,4.0,0.666666666667,6.0,7.66666666667,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
51,ANGELA ZHU,0.0,0.0,3.5,0.547619047619,,,,,6.5,2.0,12.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
52,ANGELICA BOYDEN,3.0,0.64880952381,5.25,0.970238095238,2.0,0.285714285714,8.0,1.14285714286,5.25,2.25,10.8666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
53,ANGELINA KIM,1.0,0.142857142857,2.0,0.285714285714,,,,,7.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
54,ANH-THU CHANG,0.0,0.0,0.0,0.0,,,,,4.0,12.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
55,ANNA BUCHER,2.0,0.312698412699,2.33333333333,0.387301587301,1.0,0.166666666667,4.0,0.666666666667,6.0,7.66666666667,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
56,ANNA HARE,3.0,0.555555555557,5.33333333333,0.984126984128,1.0,0.166666666667,6.0,1.0,5.66666666667,9.66666666667,9.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.666666666667,0.0,0.0,0.0,0.0,0,0
57,ANNA HROVAT-STAEDTER,3.0,0.482142857143,5.0,1.08928571429,,,,,5.5,10.0,12.855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
58,ANNA MARIA PARUK,7.0,1.75,0.0,0.0,,,,,4.0,12.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
59,ANNA MEMBRINO,1.0,0.142857142857,6.5,1.01190476191,0.0,0.0,6.0,1.0,6.5,13.5,5.715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
60,ANNA MEYERS,6.0,0.857142857143,3.0,0.428571428571,,,,,7.0,15.0,8.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
61,ANNA NAZAROV,3.2,0.414285714286,5.6,0.914285714285,7.0,1.0,7.0,1.0,6.6,2.2,10.7925,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
62,ANNA NEWTON,2.0,0.4,5.0,1.0,,,,,5.0,5.0,10.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
63,ANNA SCHOTT,1.5,0.238095238095,2.5,0.380952380952,0.0,0.0,0.0,0.0,6.5,3.5,7.735,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,0
64,ANNA UPDYKE,4.0,0.666666666667,0.0,0.0,1.0,0.166666666667,2.0,0.333333333333,6.0,11.0,3.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
65,ANNA WILLIAMS,1.0,0.25,1.5,0.375,,,,,5.5,10.0,12.855,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
66,ANNE HEMMELGARN,5.0,0.714285714286,3.0,0.428571428571,,,,,7.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
67,ANNE MERCIER,4.0,0.571428571429,14.0,2.0,5.0,0.714285714286,9.0,1.28571428571,7.0,1.0,8.535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
68,ANNE ORTIZ,1.0,0.171428571429,0.0,0.0,,,,,6.0,10.5,9.655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
69,ANNE PRICE,2.0,0.285714285714,0.0,0.0,,,,,7.0,6.0,11.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0
70,ANNE SILVER,1.5,0.226190476191,0.5,0.0714285714285,1.0,0.166666666667,2.0,0.333333333333,6.5,13.5,5.715,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
71,ANNIE NEWTON,6.0,1.0,6.0,1.0,0.0,0.0,7.0,1.16666666667,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
72,ARLIE STERN,0.5,0.0714285714285,2.0,0.285714285714,,,,,4.0,2.0,13.43,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
73,ARLIE TSANG,1.0,0.142857142857,1.0,0.142857142857,0.0,0.0,1.0,0.142857142857,7.0,2.0,4.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
74,ARTHI PADMANABHAN,1.0,0.222222222222,1.33333333333,0.277777777778,1.0,0.166666666667,0.0,0.0,5.66666666667,10.6666666667,9.96,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
75,ASHLEY BLACK,1.0,0.25,1.0,0.166666666666,1.0,0.166666666667,3.0,0.5,5.0,8.0,8.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
76,ASHLEY CHAN,0.0,0.0,0.0,0.0,,,,,4.0,12.0,12.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
77,ASHLEY DALY MORGAN,11.0,1.77777777778,2.66666666667,0.420634920635,3.0,0.5,3.0,0.5,6.33333333333,5.66666666667,9.34666666667,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,1,0
78,ASHLEY UN,1.0,0.25,1.0,0.25,,,,,4.0,15.0,13.43,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
79,AUBRI BISHOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
80,AUDREY WEI,3.0,0.579365079365,1.66666666667,0.380952380952,1.0,0.166666666667,0.0,0.0,5.66666666667,7.66666666667,9.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
81,AUSTINE LIN,0.0,0.0,1.0,0.142857142857,1.0,0.142857142857,2.0,0.285714285714,7.0,4.0,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0
82,BAILEY ZAHNISER,0.666666666667,0.103174603175,1.66666666667,0.539682539682,,,,,4.66666666667,2.0,14.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
